"","model","N","RMSE","maxR2","integratedR2","pval","qval","Fobs"
"16","HR_alt_noise_steps_PM1",19,7.596198,0.886322,15.4405002110108,0,2.6932,7.0288
"17","HR_alt_noise_steps_PM25",19,7.595585,0.882461,15.1946072477693,0,2.7384,6.7673
"14","HR_alt_noise_speed_PM25",23,7.246352,0.850977,16.165170103219,0,2.0549,4.4484
"13","HR_alt_noise_speed_PM1",23,7.229381,0.846894,16.3433294437221,0,2.067,4.2697
"12","HR_alt_noise_speed",39,8.373718,0.760873,12.6287038619904,0,0.8301,2.4966
"21","HR_alt_noise_temp_speed",33,8.263548,0.757306,14.6119696936465,0,1.0788,2.8659
"22","HR_alt_noise_temp_steps",32,8.262888,0.736877,13.8165068972077,0,1.1071,2.3669
"15","HR_alt_noise_steps",32,8.555006,0.71806,11.3767173909883,0,0.9352,2.0435
"24","HR_alt_noise_tempBody_PM25",17,7.254627,0.715413,15.0331061288222,0.18,3.3453,2.466
"30","HR_alt_steps_Sex",39,8.308018,0.71062,11.9560990774732,0,0.7517,2.1195
"28","HR_alt_speed_PM25",31,7.603597,0.707587,12.763065048335,0.005,1.1564,2.2058
"27","HR_alt_speed_PM1",31,7.608386,0.707431,12.7325272425448,0.005,1.1862,2.1935
"23","HR_alt_noise_tempBody_PM1",17,7.20459,0.705722,15.502226418054,0.195,3.3658,2.3581
"29","HR_alt_speed_Sex",47,8.265521,0.680346,12.4087562984842,0,0.7131,1.8909
"19","HR_alt_noise_temp_body_acc",22,19.509485,0.673596,1821.11176876973,0.05,2.2815,2.326
"6","HR_alt_noise_acc_PM25",19,7.557765,0.667754,15.2157178731676,0.375,2.8854,1.5566
"26","HR_alt_noise_tempEntrant",24,8.332604,0.656385,15.75359863204,0.04,1.3316,1.4692
"5","HR_alt_noise_acc_PM1",19,7.531307,0.651828,15.3590331001238,0.465,2.6927,1.4462
"18","HR_alt_noise_temp_acc",32,8.334506,0.557506,12.4029459440485,0.145,1.0109,0.8306
"7","HR_alt_noise_acc_Sex",31,8.668593,0.554813,12.2156804610007,0.195,1.2572,1.0712
"4","HR_alt_noise_acc",32,8.588232,0.539411,9.70297329134046,0.115,0.8661,0.6865
"20","HR_alt_noise_temp_body_ENT",28,8.399143,0.533202,11.2061352603605,0.045,0.9175,0.9335
"31","HR_alt_temp_body_ENT",34,8.464485,0.47875,8.4169876735309,0.005,0.6,0.7784
"9","HR_alt_noise_pollution1",23,7.666164,0.450873,9.60395287789434,0.625,1.4022,0.7105
"10","HR_alt_noise_pollution25",23,7.68567,0.449567,9.37669875578343,0.645,1.4781,0.6998
"3","HR_airpress_noise_temp",25,8.724708,0.440012,9.67897187169905,0.21,1.1793,0.9077
"25","HR_alt_noise_tempEmpatica",33,8.567088,0.42939,9.35815911308801,0.085,0.723,0.6613
"8","HR_alt_noise",39,8.736482,0.411138,6.87145205295353,0.01,0.4733,0.6125
"2","HR_airpress_noise",30,8.784591,0.401951,6.73392776447891,0.04,0.6637,0.6927
"33","HR_alt_temp_pollution25",27,7.68485,0.393268,9.16616815400157,0.43,1.0992,0.6483
"32","HR_alt_temp_pollution1",27,7.685915,0.393187,9.20815627594454,0.445,1.1403,0.6482
"11","HR_alt_noise_Sex_Bspl",38,8.518559,0.379981,9.99987889911781,0.035,0.532,0.5998
